project_rolebased_user_id,project_id,employee_id,resourcing_status,allocated_start_date,allocated_end_date,is_allocation_active,allocation_by_percentage,is_active_version,extended_end_date,extended_status,extended_start_date,shift_type,reviewer_employee_id
8b2ff240-91a5-11ed-b47d-799a1ad59ea6,SMG_001,JMG113,NON_BILLABLE,2022-11-14,2023-01-31,0,,1,,,,,
fd4df020-91cd-11ed-b47d-799a1ad59ea6,JMG_108,JMD105,NON_BILLABLE,2022-11-07,2022-12-30,0,,1,,,,,
fd4fc4e0-91cd-11ed-b47d-799a1ad59ea6,JMG_108,JMG86,NON_BILLABLE,2022-07-04,2023-01-11,0,,1,,,,,
884caa70-918f-11ed-b47d-799a1ad59ea6,FIR_008,JMD109,NON_BILLABLE,2022-07-01,2023-01-13,0,,1,,,,,
8b31ee10-91a5-11ed-b47d-799a1ad59ea6,SMG_001,JMG22,NON_BILLABLE,2022-11-14,2023-01-31,0,,1,,,,,
fd4898f0-91cd-11ed-b47d-799a1ad59ea6,JMG_108,JMG56,NON_BILLABLE,2022-07-04,2022-12-30,0,,1,,,,,
884b4ae0-918f-11ed-b47d-799a1ad59ea6,FIR_008,JMD59,NON_BILLABLE,2022-07-01,2023-01-13,0,,1,,,,,
8b34d440-91a5-11ed-b47d-799a1ad59ea6,SMG_001,JMD87,NON_BILLABLE,2022-11-14,2023-01-13,0,,1,,,,,
7a17e0d0-91a5-11ed-b47d-799a1ad59ea6,CIE_002,JMG22,NON_BILLABLE,2022-08-08,2023-03-03,0,,1,,,,,
7a19dca0-91a5-11ed-b47d-799a1ad59ea6,CIE_002,JMD107,NON_BILLABLE,2022-08-08,2023-03-03,0,,1,,,,,
8b3103b0-91a5-11ed-b47d-799a1ad59ea6,SMG_001,JMG143,NON_BILLABLE,2022-11-14,2023-01-31,0,,1,,,,,
7a1bff80-91a5-11ed-b47d-799a1ad59ea6,CIE_002,JMD147,NON_BILLABLE,2022-11-07,2023-03-03,0,,1,,,,,
4f1b5920-952e-11ed-9781-7dc4c3d19bf8,JMG_108,JMD105,NON_BILLABLE,2022-11-07,2023-01-31,0,,1,,,,,
a22a4210-6726-11ed-a862-f9f1e84319e8,CNV_013,JMD105,NON_BILLABLE,2021-11-15,2023-01-13,0,,1,,,,,
d1a7ec00-9759-11ed-9781-7dc4c3d19bf8,SMG_001,JMD142,NON_BILLABLE,2023-01-16,2023-01-31,0,,1,,,,,
b6b63e70-640e-11ed-a862-f9f1e84319e8,THO_007,JMD105,NON_BILLABLE,2022-06-01,2023-01-31,0,,1,,,,,
a758e0f0-8cc1-11ed-bdd3-478349daf016,MSG_010,JMD105,NON_BILLABLE,2022-10-20,2023-01-31,0,,1,,,,,
88e23170-9244-11ed-b47d-799a1ad59ea6,UPR_002,JMD169,NON_BILLABLE,2022-04-01,2022-04-30,0,,1,,,,,
44e7b260-9244-11ed-b47d-799a1ad59ea6,UPR_005,JMD154,NON_BILLABLE,2022-03-01,2022-12-31,0,,1,,,,,
da8b6c60-966f-11ed-9781-7dc4c3d19bf8,JMG_164,JMD139,NON_BILLABLE,2023-01-16,2023-12-31,0,,1,,,,,
26fadd90-966d-11ed-9781-7dc4c3d19bf8,JMG_162,JMG53,NON_BILLABLE,2023-01-16,2023-12-31,0,,1,,,,,
f50141c0-964a-11ed-9781-7dc4c3d19bf8,COM_001,JMG22,NON_BILLABLE,2022-10-17,2023-02-03,0,,1,,,,,
634f5c90-9239-11ed-b47d-799a1ad59ea6,TPW_003,JMD59,NON_BILLABLE,2022-10-01,2022-12-31,0,,1,,,,,
54db9bd0-9589-11ed-9781-7dc4c3d19bf8,JAG_008,JMG125,NON_BILLABLE,2023-01-03,2023-01-27,0,,1,,,,,
6351a680-9239-11ed-b47d-799a1ad59ea6,TPW_003,JMD105,NON_BILLABLE,2022-05-02,2023-01-31,0,,1,,,,,
da73c5b0-966f-11ed-9781-7dc4c3d19bf8,JMG_164,JMG31,NON_BILLABLE,2023-01-16,2023-12-31,0,,1,,,,,
8ac79150-9678-11ed-9781-7dc4c3d19bf8,BAU_002,JMG153,NON_BILLABLE,2022-08-01,2030-12-31,1,,1,,,,,
e08c8410-9687-11ed-9781-7dc4c3d19bf8,NOO_002,JMG31,NON_BILLABLE,2022-12-01,2023-01-27,0,,1,,,,,
634e9940-9239-11ed-b47d-799a1ad59ea6,TPW_003,JMD59,NON_BILLABLE,2022-08-22,2022-09-30,0,,1,,,,,
6e906cc0-9293-11ed-b4ff-3fa4b0881616,BAU_002,JMG152,NON_BILLABLE,2022-08-01,2030-12-31,1,,1,,,,,
da8a8200-966f-11ed-9781-7dc4c3d19bf8,JMG_164,JMD26,NON_BILLABLE,2023-01-16,2023-12-31,0,,1,,,,,
476c0070-966f-11ed-9781-7dc4c3d19bf8,JMG_161,JMG145,NON_BILLABLE,2023-01-16,2023-12-31,0,,1,,,,,
fdbb4c00-966f-11ed-9781-7dc4c3d19bf8,JMG_165,JMD142,NON_BILLABLE,2023-01-16,2023-12-31,0,,1,,,,,
88dfc070-9244-11ed-b47d-799a1ad59ea6,UPR_002,JMD167,NON_BILLABLE,2022-03-20,2022-06-13,0,,1,,,,,
8acc7350-9678-11ed-9781-7dc4c3d19bf8,BAU_003,JMG153,NON_BILLABLE,2022-09-05,2030-12-31,1,,1,,,,,
6e8ebf10-9293-11ed-b4ff-3fa4b0881616,BAU_011,JMG152,NON_BILLABLE,2022-09-01,2030-12-31,1,,1,,,,,
4a19ecf0-9670-11ed-9781-7dc4c3d19bf8,JMG_163,JMG22,NON_BILLABLE,2023-01-16,2023-12-31,0,,1,,,,,
88dd9d90-9244-11ed-b47d-799a1ad59ea6,UPR_002,JMD61,NON_BILLABLE,2022-01-03,2022-04-01,0,,1,,,,,
